1,1
2,3
3,4
4,3
5,1
6,3
7,4
8,3
9,3
10,4
11,1
12,2
13,2
14,3
15,1
16,2
17,4
18,3
19,4
20,3
21,1
22,1
23,2
24,1
26,1
27,3
28,2
29,1
30,2
31,2
32,2
33,1
34,1
35,1
36,2
37,1
38,1
39,4
40,2
41,4
42,1
43,3
44,3
45,4
46,1
47,3
48,4
49,1
50,3
51,3
52,3
53,4
54,3
55,3
56,4
57,3
59,1
60,2
61,1
62,2
63,1
64,3
65,1
66,2
67,3
68,1
69,2
70,4
71,2
72,2
73,4
74,2
75,3
76,1
77,1
78,2
79,1
80,4
81,2
82,3
83,4
84,4
85,2
86,1
87,3
88,2
89,1
90,1
91,1
92,1
93,2
94,4
95,4
96,3
97,2
98,3
99,1
100,2
101,2
102,1
103,2
104,1
105,1
106,1
107,1
108,1
109,1
110,2
111,1
112,1
113,3
114,2
115,4
116,1
117,1
118,1
119,2
120,3
121,4
122,1
123,2
124,1
125,4
126,3
127,4
128,4
129,4
130,1
131,4
132,4
133,2
134,1
135,3
136,4
137,2
138,2
139,2
140,4
141,3
142,3
143,1
144,4
145,2
146,4
147,1
148,1
149,1
150,3
151,2
152,2
153,4
154,2
155,3
156,2
157,4
158,1
159,1
160,1
161,1
162,3
163,2
164,3
165,2
166,1
167,1
168,3
169,2
170,1
171,3
172,4
173,1
174,1
175,1
176,2
177,1
178,2
179,3
180,3
181,1
182,1
183,2
184,3
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,2
194,4
195,4
196,4
197,1
198,1
199,1
200,2
201,1
202,3
203,1
204,1
205,1
206,1
207,1
208,3
209,2
210,2
211,1
212,3
213,2
214,1
215,3
216,4
217,2
218,2
219,4
220,3
221,4
238,1
239,4
240,1
241,1
242,1
243,1
244,2
246,3
247,3
248,2
249,2
250,2
251,3
253,2
254,1
255,2
256,2
257,1
259,4
260,4
261,1
263,4
264,4
265,2
266,2
267,3
268,3
269,1
270,1
271,3
272,1
273,1
274,1
275,1
276,4
277,3
278,2
279,2
280,4
281,1
282,4
283,3
284,4
285,1
286,1
287,1
288,4
289,1
290,4
291,1
292,2
293,2
294,1
295,1
296,4
297,3
298,2
299,1
300,1
301,4
302,1
303,2
304,3
305,4
306,2
307,3
308,1
309,3
310,4
